num_prs_needs_review,num_prs_approved_not_merged,num_prs_open,num_outstanding_review_requests,num_prs_need_review_by_login,num_assigned_prs_by_login,inserted_at
20,4,47,82,"{""cduruk"":6,""clandry94"":2,""corbinmuraro"":1,""dependabot"":5,""alex"":1,""ibesora"":1,""joeherm"":1,""jose"":1,""s3cur3"":1,""bournemouth"":1}","{""boyd"":5,""lars"":2,""axelson"":1,""e-n-f"":1,""joeherm"":2,""bournemouth"":1}",2023-09-02 20:13:04
20,4,47,82,"{""cduruk"":6,""clandry94"":2,""corbinmuraro"":1,""dependabot"":5,""alex"":1,""ibesora"":1,""joeherm"":1,""jose"":1,""s3cur3"":1,""bournemouth"":1}","{""boyd"":5,""lars"":2,""axelson"":1,""e-n-f"":1,""joeherm"":2,""bournemouth"":1}",2023-09-02 20:12:03
20,4,47,82,"{""cduruk"":6,""clandry94"":2,""corbinmuraro"":1,""dependabot"":5,""alex"":1,""ibesora"":1,""joeherm"":1,""jose"":1,""s3cur3"":1,""bournemouth"":1}","{""boyd"":5,""lars"":2,""axelson"":1,""e-n-f"":1,""joeherm"":2,""bournemouth"":1}",2023-09-02 20:11:02
20,4,47,82,"{""cduruk"":6,""clandry94"":2,""corbinmuraro"":1,""dependabot"":5,""alex"":1,""ibesora"":1,""joeherm"":1,""jose"":1,""s3cur3"":1,""bournemouth"":1}","{""boyd"":5,""lars"":2,""axelson"":1,""e-n-f"":1,""joeherm"":2,""bournemouth"":1}",2023-09-02 20:10:02
20,4,47,82,"{""cduruk"":6,""clandry94"":2,""corbinmuraro"":1,""dependabot"":5,""alex"":1,""ibesora"":1,""joeherm"":1,""jose"":1,""s3cur3"":1,""bournemouth"":1}","{""boyd"":5,""lars"":2,""axelson"":1,""e-n-f"":1,""joeherm"":2,""bournemouth"":1}",2023-09-02 20:09:03
20,4,47,82,"{""cduruk"":6,""clandry94"":2,""corbinmuraro"":1,""dependabot"":5,""alex"":1,""ibesora"":1,""joeherm"":1,""jose"":1,""s3cur3"":1,""bournemouth"":1}","{""boyd"":5,""lars"":2,""axelson"":1,""e-n-f"":1,""joeherm"":2,""bournemouth"":1}",2023-09-02 20:08:03
20,4,47,82,"{""cduruk"":6,""clandry94"":2,""corbinmuraro"":1,""dependabot"":5,""alex"":1,""ibesora"":1,""joeherm"":1,""jose"":1,""s3cur3"":1,""bournemouth"":1}","{""boyd"":5,""lars"":2,""axelson"":1,""e-n-f"":1,""joeherm"":2,""bournemouth"":1}",2023-09-02 20:07:03
20,4,47,82,"{""cduruk"":6,""clandry94"":2,""corbinmuraro"":1,""dependabot"":5,""alex"":1,""ibesora"":1,""joeherm"":1,""jose"":1,""s3cur3"":1,""bournemouth"":1}","{""boyd"":5,""lars"":2,""axelson"":1,""e-n-f"":1,""joeherm"":2,""bournemouth"":1}",2023-09-02 20:06:03
20,4,47,82,"{""cduruk"":6,""clandry94"":2,""corbinmuraro"":1,""dependabot"":5,""alex"":1,""ibesora"":1,""joeherm"":1,""jose"":1,""s3cur3"":1,""bournemouth"":1}","{""boyd"":5,""lars"":2,""axelson"":1,""e-n-f"":1,""joeherm"":2,""bournemouth"":1}",2023-09-02 20:05:03
20,4,47,82,"{""cduruk"":6,""clandry94"":2,""corbinmuraro"":1,""dependabot"":5,""alex"":1,""ibesora"":1,""joeherm"":1,""jose"":1,""s3cur3"":1,""bournemouth"":1}","{""boyd"":5,""lars"":2,""axelson"":1,""e-n-f"":1,""joeherm"":2,""bournemouth"":1}",2023-09-02 20:04:02
